system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
FUS,A_warm,4,2,0.7,0.8286,0.8469,1.089,1.0582,0.7593
FUS,A_warm,4,4,0.7,0.8062,0.8185,1.0523,1.0227,0.8941
FUS,A_warm,4,6,0.7,0.7877,0.7984,1.0251,0.9983,0.9397
FUS,A_warm,4,8,0.7,0.7766,0.7888,1.0086,0.9859,0.9593
FUS,A_warm,4,10,0.7,0.7695,0.7819,0.9988,0.9759,0.9708
FUS,A_warm,4,15,0.7,0.7541,0.7692,0.976,0.9566,0.9833
FUS,A_warm,4,20,0.7,0.7455,0.7595,0.9627,0.9416,0.9885
FUS,A_warm,4,30,0.7,0.7377,0.7515,0.9482,0.9273,0.9926
FUS,A_warm,4,50,0.7,0.7319,0.7471,0.9391,0.9196,0.9956
FUS,A_warm,4,1,0.8,0.8666,0.8834,1.1458,1.0923,0.5708
FUS,A_warm,4,2,0.8,0.8444,0.8544,1.1078,1.0689,0.7564
FUS,A_warm,4,4,0.8,0.8114,0.824,1.0559,1.0307,0.8888
FUS,A_warm,4,6,0.8,0.7918,0.804,1.0271,1.0035,0.9363
FUS,A_warm,4,8,0.8,0.7756,0.7917,1.0072,0.9875,0.9574
FUS,A_warm,4,10,0.8,0.7672,0.784,0.9956,0.9787,0.9683
FUS,A_warm,4,15,0.8,0.7545,0.7705,0.9758,0.9581,0.981
FUS,A_warm,4,20,0.8,0.7482,0.7645,0.9656,0.9488,0.9872
FUS,A_warm,4,30,0.8,0.7387,0.7537,0.952,0.9332,0.9922
FUS,A_warm,4,50,0.8,0.7317,0.7475,0.9404,0.9223,0.9943
FUS,A_warm,4,1,0.9,0.8701,0.8931,1.1458,1.1007,0.5703
FUS,A_warm,4,2,0.9,0.8539,0.8728,1.1171,1.0902,0.7559
FUS,A_warm,4,4,0.9,0.8162,0.8368,1.0629,1.044,0.8891
FUS,A_warm,4,6,0.9,0.7938,0.8108,1.0314,1.0108,0.9348
FUS,A_warm,4,8,0.9,0.779,0.7963,1.0109,0.9928,0.9559
FUS,A_warm,4,10,0.9,0.7708,0.7899,0.9986,0.9822,0.9651
FUS,A_warm,4,15,0.9,0.7572,0.7754,0.9789,0.9636,0.9786
FUS,A_warm,4,20,0.9,0.7522,0.7688,0.971,0.9544,0.9853
FUS,A_warm,4,30,0.9,0.7418,0.7597,0.9558,0.9404,0.9897
FUS,A_warm,4,50,0.9,0.7362,0.7534,0.9467,0.9292,0.9926
FUS,A_warm,5,1,0.0,0.8732,0.8898,1.1504,1.1053,0.6075
FUS,A_warm,5,2,0.0,0.8434,0.8598,1.1085,1.0821,0.7929
FUS,A_warm,5,4,0.0,0.8118,0.8206,1.0525,1.022,0.9139
FUS,A_warm,5,6,0.0,0.793,0.8029,1.0276,0.997,0.9544
FUS,A_warm,5,8,0.0,0.7783,0.7851,1.0111,0.978,0.9712
FUS,A_warm,5,10,0.0,0.769,0.7747,0.998,0.9636,0.98
FUS,A_warm,5,15,0.0,0.7524,0.7583,0.9748,0.9427,0.9904
FUS,A_warm,5,20,0.0,0.7453,0.7521,0.9643,0.934,0.995
FUS,A_warm,5,30,0.0,0.7381,0.7449,0.9506,0.922,0.9981
FUS,A_warm,5,50,0.0,0.7325,0.7402,0.9393,0.9119,0.9999
FUS,A_warm,5,1,0.7,0.875,0.8853,1.1595,1.1026,0.581
FUS,A_warm,5,2,0.7,0.8497,0.8644,1.1109,1.0779,0.7658
FUS,A_warm,5,4,0.7,0.8141,0.8191,1.0574,1.0192,0.898
FUS,A_warm,5,6,0.7,0.7987,0.801,1.038,0.9992,0.9431
FUS,A_warm,5,8,0.7,0.7871,0.7924,1.0204,0.9858,0.9637
FUS,A_warm,5,10,0.7,0.777,0.7809,1.0047,0.969,0.9746
FUS,A_warm,5,15,0.7,0.7587,0.7657,0.9798,0.9484,0.9862
FUS,A_warm,5,20,0.7,0.7528,0.7581,0.969,0.9373,0.9923
FUS,A_warm,5,30,0.7,0.7451,0.751,0.9571,0.9264,0.9956
FUS,A_warm,5,50,0.7,0.7412,0.7497,0.9495,0.9221,0.9975
FUS,A_warm,5,1,0.8,0.8792,0.8873,1.1587,1.1011,0.5855
FUS,A_warm,5,2,0.8,0.8476,0.8578,1.1084,1.0708,0.7681
FUS,A_warm,5,4,0.8,0.8176,0.8253,1.0621,1.0275,0.8961
FUS,A_warm,5,6,0.8,0.8045,0.8072,1.0421,1.006,0.943
FUS,A_warm,5,8,0.8,0.789,0.7897,1.0197,0.9834,0.9616
FUS,A_warm,5,10,0.8,0.7789,0.7817,1.0052,0.9712,0.9721
FUS,A_warm,5,15,0.8,0.7632,0.7684,0.9826,0.9508,0.9859
FUS,A_warm,5,20,0.8,0.7571,0.7648,0.9726,0.943,0.9918
FUS,A_warm,5,30,0.8,0.7492,0.7543,0.9613,0.9294,0.9955
FUS,A_warm,5,50,0.8,0.7432,0.751,0.951,0.9224,0.997
FUS,A_warm,5,1,0.9,0.8798,0.8785,1.1513,1.0829,0.5829
FUS,A_warm,5,2,0.9,0.8495,0.8582,1.108,1.0689,0.7705
FUS,A_warm,5,4,0.9,0.8231,0.8332,1.0648,1.0351,0.8966
FUS,A_warm,5,6,0.9,0.8095,0.816,1.0447,1.0117,0.9403
FUS,A_warm,5,8,0.9,0.7916,0.7966,1.0227,0.9892,0.9607
FUS,A_warm,5,10,0.9,0.7847,0.7922,1.0114,0.9814,0.9722
FUS,A_warm,5,15,0.9,0.7686,0.7776,0.9882,0.9582,0.9845
FUS,A_warm,5,20,0.9,0.7626,0.7711,0.9808,0.9498,0.9896
FUS,A_warm,5,30,0.9,0.7543,0.7603,0.9679,0.9355,0.9943
FUS,A_warm,5,50,0.9,0.7481,0.7563,0.9588,0.9284,0.9963
FUS,A_warm,6,1,0.0,0.8613,0.8563,1.1438,1.0737,0.6115
